Facility Name,State,avg_excess_ratio,total_readmissions,total_discharges,total_pentalty_risk,high_risk
ABBOTT NORTHWESTERN HOSPITAL,MN,0.9724,257,1697,-57.09,0
ABRAZO ARROWHEAD HOSPITAL,AZ,1.0113,205,1294,11.32,1
ABRAZO CENTRAL CAMPUS,AZ,1.0229,13,74,1.69,0
ABRAZO SCOTTSDALE CAMPUS,AZ,0.9525,28,226,-15.49,0
ABRAZO WEST CAMPUS,AZ,1.0007,104,659,5.3,1
ACADIA GENERAL HOSPITAL,LA,0.969,45,322,-10.8,0
ACADIAN MEDICAL CENTER,LA,1.025,11,49,1.22,0
ACMH HOSPITAL,PA,1.112,19,78,8.74,0
ADENA REGIONAL MEDICAL CENTER,OH,0.9969,189,1078,-35.22,1
ADIRONDACK MEDICAL CENTER - SARANAC LAKE,NY,1.0194,13,75,1.46,0
ADVENTHEALTH CASTLE ROCK,CO,1.0092,42,247,2.45,0
ADVENTHEALTH CENTRAL TEXAS,TX,1.0418,129,667,31.22,1
ADVENTHEALTH DADE CITY,FL,1.0566,51,192,9.39,0
ADVENTHEALTH DAYTONA BEACH,FL,0.9427,371,2201,-115.54,0
ADVENTHEALTH DELAND,FL,1.0216,158,837,17.68,1
ADVENTHEALTH FISH MEMORIAL,FL,1.0226,219,1113,-13.21,1
ADVENTHEALTH GORDON,GA,0.9474,62,388,-20.98,0
ADVENTHEALTH HEART OF FLORIDA,FL,1.1155,91,379,43.79,2
ADVENTHEALTH HENDERSONVILLE,NC,0.9342,45,373,-23.58,0
ADVENTHEALTH LAKE WALES,FL,1.0722,46,198,17.25,1
ADVENTHEALTH MURRAY,GA,0.9635,12,95,-3.47,0
ADVENTHEALTH NEW SMYRNA BEACH,FL,0.9796,113,729,-28.9,0
ADVENTHEALTH NORTH PINELLAS,FL,1.0487,128,600,41.38,2
ADVENTHEALTH OCALA,FL,1.0252,353,1948,46.1,2
ADVENTHEALTH ORLANDO,FL,1.1426,1948,9480,1351.79,6
ADVENTHEALTH OTTAWA,KS,1.0875,52,227,20.14,1
ADVENTHEALTH PALM COAST PARKWAY,FL,1.0038,33,165,-0.8,0
ADVENTHEALTH REDMOND,GA,1.0179,301,1643,33.03,2
ADVENTHEALTH SEBRING,FL,0.9872,336,1825,-46.11,1
ADVENTHEALTH SHAWNEE MISSION,KS,1.0117,188,1265,-23.7,1
"ADVENTHEALTH SOUTH OVERLAND PARK, INC",KS,1.0252,25,120,2.89,0
ADVENTHEALTH TAMPA,FL,1.015,249,1412,-17.17,2
ADVENTHEALTH WATERMAN,FL,1.0377,411,2290,17.42,2
ADVENTHEALTH WESLEY CHAPEL,FL,0.991,192,1048,-6.32,1
ADVENTIST HEALTH AND RIDEOUT,CA,1.0623,362,1812,129.03,3
ADVENTIST HEALTH BAKERSFIELD,CA,1.0327,180,954,32.37,2
ADVENTIST HEALTH CASTLE,HI,0.9683,66,444,-12.55,0
ADVENTIST HEALTH DELANO,CA,1.0492,18,83,4.08,0
ADVENTIST HEALTH HANFORD,CA,0.9774,125,764,-7.69,1
ADVENTIST HEALTH LODI MEMORIAL,CA,1.0497,198,1050,73.7,2
ADVENTIST HEALTH PORTLAND,OR,0.9452,80,571,-33.03,0
ADVENTIST HEALTH SIERRA VISTA,CA,1.0074,36,229,-3.6,0
ADVENTIST HEALTH SIMI VALLEY,CA,1.0523,199,1012,78.89,2
ADVENTIST HEALTH SONORA,CA,0.9644,117,785,-26.03,0
ADVENTIST HEALTH ST HELENA,CA,0.9989,61,405,1.24,0
ADVENTIST HEALTH TULARE,CA,1.0308,32,170,4.3,0
ADVENTIST HEALTH TWIN CITIES,CA,1.0438,85,511,21.86,2
ADVENTIST HEALTH UKIAH VALLEY,CA,0.9864,65,398,-6.27,0
ADVENTIST HEALTH WHITE MEMORIAL,CA,1.0442,91,412,20.53,1
ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,CA,1.0204,44,208,4.26,0
ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,MD,0.9964,46,281,-0.25,0
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,MD,1.0711,269,1738,87.1,2
ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,MD,1.0328,277,1650,37.17,2
