State,total_hospitals,avg_excess_ratio,total_readmissions,total_discharges,avg_penalty_risk
AK,7,1.008,696,4673,0.1626
AL,48,1.0244,5707,33763,3.3795
AR,34,1.0096,4867,30287,-0.4087
AZ,50,1.0113,6848,43313,1.5849
CA,224,1.0185,33249,190141,2.3436
CO,32,0.9705,2422,17431,-10.6878
CT,25,1.0081,5054,29349,2.2736
DC,6,0.9877,897,5292,-10.9812
DE,6,0.9693,1918,12476,-24.9955
FL,159,1.028,35222,197109,8.3096
GA,76,1.0181,10771,61123,2.4884
HI,9,0.9897,825,5513,-4.3404
IA,26,0.9823,3528,24441,-7.6637
ID,11,0.9144,822,7313,-25.8807
IL,103,1.0265,20558,116336,6.9234
IN,67,1.0026,10180,59735,-1.2459
KS,33,0.9634,3453,25500,-19.8432
KY,51,1.0181,7223,40652,3.1127
LA,48,1.025,5261,30184,3.9676
MA,52,1.0444,15668,92376,12.6469
MD,40,0.9862,9227,54918,-6.8805
ME,12,0.9556,1004,7334,-18.4681
MI,74,1.0097,12337,67794,2.8237
MN,36,0.9821,3740,25189,-9.6711
MO,55,1.0086,8637,50553,-0.0752
MS,43,1.0268,5121,29154,7.6407
MT,10,0.9465,957,7631,-16.8228
NC,74,0.9961,11961,76624,-7.5402
ND,6,0.9538,1093,7257,-20.5583
NE,19,0.9859,1946,12959,-6.2152
NH,13,0.991,2209,14312,-5.7202
NJ,61,1.031,15078,83063,8.7426
NM,13,0.986,1261,9058,-10.18
NV,18,1.0226,3125,17313,5.2329
NY,119,1.0133,23521,140718,-5.5512
OH,103,1.012,15899,90776,0.8393
OK,43,0.9969,5415,35005,-9.2756
OR,26,0.9502,2114,15647,-14.4249
PA,114,1.0159,18208,107736,3.9557
RI,9,0.9971,1263,7913,-2.8483
SC,46,1.0101,7151,43693,2.2402
SD,12,0.9619,993,8922,-26.486
TN,64,1.0123,9281,56582,-0.0756
TX,191,1.0094,26324,157205,-0.842
UT,15,0.9371,978,8733,-27.0821
VA,66,0.9953,12509,76683,-3.1451
VT,6,0.9801,761,4890,-6.1672
WA,42,0.9737,5667,38439,-12.025
WI,53,0.9905,4894,30787,-3.6164
WV,21,1.024,3467,18383,7.4016
WY,5,0.9623,499,3639,-11.0885
